FID,name,TimeStamp,Longitude,Latitude,SeverityFactor
1,High Severity,8/1/2023 0:00,-115.17218007,35.2962465866,3
2,High severity,8/2/2023 0:00,-115.226195672,35.3021677334,3
3,High severity/mortality YUJA woodlands,7/31/2023 0:00,-115.257441519,35.316332434,3
4,Higher burn severity,7/31/2023 0:00,-115.215690456,35.253257131,3
5,Higher severity,7/31/2023 0:00,-115.227215455,35.2896266592,3
6,Moderate severity,7/31/2023 0:00,-115.192903796,35.2822740071,2
7,Moderate severity,8/1/2023 0:00,-115.094502495,35.3691781175,2
8,Moderate severity,8/2/2023 0:00,-115.235697936,35.2714253334,2
9,Moderate severity YucSch woodlands,7/31/2023 0:00,-115.29675868,35.3337232717,2
10,Moderate to high burn severity,8/1/2023 0:00,-115.122347836,35.2777619142,2
11,Unburned island,8/1/2023 0:00,-115.129428352,35.2865650512,0
12,Unburned island,8/2/2023 0:00,-115.231057628,35.2675876275,0
13,Unburned--finger?,7/31/2023 0:00,-115.207740773,35.2794566224,0
14,High Severity,8/1/2023 0:00,-115.17218007,35.2962465866,3
16,High severity PJ,8/3/2023 0:00,-115.316133575,35.2086017602,3
19,Low severity,8/3/2023 0:00,-115.301318598,35.2373637587,1
20,Low to moderate severity,8/3/2023 0:00,-115.233663303,35.206700779,1
21,Moderate severity,8/3/2023 0:00,-115.214888286,35.2040960486,2
22,Moderate severity,8/3/2023 0:00,-115.220716753,35.1397968767,2
23,Moderate to high severity,8/3/2023 0:00,-115.303512491,35.2330421903,2
24,Retardant unburned island,8/3/2023 0:00,-115.225095599,35.1730542168,0
25,Unburned,8/3/2023 0:00,-115.18849378,35.1495123238,0
26,Unburned island,8/3/2023 0:00,-115.282751801,35.2136571501,0
27,Unburned island,8/3/2023 0:00,-115.300322595,35.2252536489,0
28,Unburned with patches of light severity,8/1/2023 0:00,-115.105515647,35.3215698751,0
172,High severity to West - NPG interpreted,8/3/2023 0:00,-115.224902873,35.1561788518,3
182,unburned island to north - NPG interpreted,8/3/2023 0:00,-115.221711339,35.2042500408,0
171,unburned to east - NPG interpreted,8/3/2023 0:00,-115.224902873,35.1561788518,3
181,Low burn severity to south - NPG interpreted,8/3/2023 0:00,-115.221711339,35.2042500408,1
